feature_name,family,formula,source_columns,denominator,unit,missing_behavior,position_sensitive,season_sensitive,status,notes
weight,PHYSICAL,raw hoopR value,weight,n/a,pounds,NULL if absent,yes,no,APPROVED,ML-1: temporally stable (drift 0.071)
position_3,POSITION,map(hoopr_position) -> G/F/C/UNKNOWN,hoopr_position,n/a,category,UNKNOWN preserved,n/a,no,APPROVED,DEC-067; only leakage-safe position source
team_minutes,DENOMINATOR,sum of team minutes over played games,player_box,n/a,minutes,NULL if unmatched,no,yes,METADATA,reliability denominator; reconstructs to ~201/game
team_possessions,DENOMINATOR,TmFGA + 0.44*TmFTA - TmORB + TmTOV,player_box team totals,n/a,possessions,NULL if unmatched,no,yes,METADATA,conventional estimate
opp_possessions,DENOMINATOR,OppFGA + 0.44*OppFTA - OppORB + OppTOV,player_box opponent totals,n/a,possessions,NULL if unmatched,no,yes,METADATA,via game self-join
shot_fga_coverage_ratio,AUDIT,fg_attempts_shotfile / field_goals_attempted,fg_attempts_shotfile;field_goals_attempted,box FGA,ratio,NULL if FGA<=0,no,yes,AUDIT_ONLY,data completeness must not become a predictive signal
n_teams,AUDIT,count of distinct teams in season,player_box,n/a,count,NULL if unmatched,no,no,AUDIT_ONLY,transfer metadata
experience_years,AUDIT,raw hoopR value,experience_years,n/a,years,NULL if absent,no,yes,DESCRIPTIVE_ONLY,semantics unverified across years; not a predictive candidate
jump_shot_share,REJECTED,NOT DERIVED,jump_shot_attempts,n/a,n/a,n/a,n/a,n/a,REJECTED,DEC-068: type_text schema breaks at 2020/21; Three Point Jump Shot folded into JumpShot
jump_shot_pct,REJECTED,NOT DERIVED,jump_shot_makes;jump_shot_attempts,n/a,n/a,n/a,n/a,n/a,REJECTED,DEC-068
